id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
5ChkMS8OtdzJeqyybCc9R5,Thriller 25 Super Deluxe Edition,Billie Jean,Michael Jackson,False,83,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,audio_features,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,4.897116666666666,4
37ZJ0p5Jm13JPevGcx4SkF,Slippery When Wet,Livin' On A Prayer,Bon Jovi,False,87,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,audio_features,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/tracks/37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/audio-analysis/37ZJ0p5Jm13JPevGcx4SkF,4.154883333333333,4
7snQQk1zcKl8gZ92AnueZW,Appetite For Destruction,Sweet Child O' Mine,Guns N' Roses,True,88,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,audio_features,spotify:track:7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW,5.93445,4
51H2y6YrNNXcy3dfc3qSbA,Purple Rain,When Doves Cry,Prince,False,73,0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,audio_features,spotify:track:51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/tracks/51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/audio-analysis/51H2y6YrNNXcy3dfc3qSbA,5.881766666666667,4
6suU8oBlW4O2pg88tOXgHo,Bohemian Rhapsody (The Original Soundtrack),Under Pressure,"Queen, David Bowie",False,63,0.672,0.699,2,-7.831,1,0.0475,0.395,0.0,0.094,0.46,113.737,audio_features,spotify:track:6suU8oBlW4O2pg88tOXgHo,https://api.spotify.com/v1/tracks/6suU8oBlW4O2pg88tOXgHo,https://api.spotify.com/v1/audio-analysis/6suU8oBlW4O2pg88tOXgHo,4.07475,4
