id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
71iSmEeF0qRVyULABxP75P,Ceremonials (Original Deluxe Version),Shake It Out,Florence + The Machine,False,71,0.519,0.799,10,-4.207,1,0.0371,0.00878,0.0,0.107,0.226,107.489,audio_features,spotify:track:71iSmEeF0qRVyULABxP75P,https://api.spotify.com/v1/tracks/71iSmEeF0qRVyULABxP75P,https://api.spotify.com/v1/audio-analysis/71iSmEeF0qRVyULABxP75P,4.626666666666667,4
1c8gk2PeTE04A1pIDH9YMk,21,Rolling in the Deep,Adele,True,82,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,audio_features,spotify:track:1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/tracks/1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/audio-analysis/1c8gk2PeTE04A1pIDH9YMk,3.80155,4
72TFWvU3wUYdUuxejTTIzt,ANTI (Deluxe),Work,"Rihanna, Drake",True,81,0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974,audio_features,spotify:track:72TFWvU3wUYdUuxejTTIzt,https://api.spotify.com/v1/tracks/72TFWvU3wUYdUuxejTTIzt,https://api.spotify.com/v1/audio-analysis/72TFWvU3wUYdUuxejTTIzt,3.6553333333333335,4
5FVd6KXrgO9B3JPmC8OPst,AM,Do I Wanna Know?,Arctic Monkeys,False,90,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,spotify:track:5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/audio-analysis/5FVd6KXrgO9B3JPmC8OPst,4.5399,4
62yJjFtgkhUrXktIoSjgP2,Night Visions,Radioactive,Imagine Dragons,False,82,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,audio_features,spotify:track:62yJjFtgkhUrXktIoSjgP2,https://api.spotify.com/v1/tracks/62yJjFtgkhUrXktIoSjgP2,https://api.spotify.com/v1/audio-analysis/62yJjFtgkhUrXktIoSjgP2,3.11355,4
